Date,Price
03/11/2026,"77,159.25"
03/10/2026,"78,648.80"
03/09/2026,"78,004.00"
03/06/2026,"79,229.05"
03/05/2026,"80,270.55"
03/04/2026,"79,508.85"
03/02/2026,"80,579.40"
02/27/2026,"81,807.65"
02/26/2026,"82,814.90"
02/25/2026,"82,321.75"
02/24/2026,"82,335.90"
02/23/2026,"83,324.20"
02/20/2026,"82,888.85"
02/19/2026,"82,477.95"
02/18/2026,"83,815.60"
02/17/2026,"83,580.05"
02/16/2026,"83,463.40"
02/13/2026,"82,829.40"
02/12/2026,"83,900.05"
02/11/2026,"84,427.95"
02/10/2026,"84,513.60"
02/09/2026,"84,291.40"
02/06/2026,"83,822.45"
02/05/2026,"83,760.55"
02/04/2026,"84,206.10"
02/03/2026,"84,170.90"
02/02/2026,"82,070.35"
02/01/2026,"81,245.05"
01/30/2026,"82,904.25"
01/29/2026,"83,250.75"
01/28/2026,"82,394.80"
01/27/2026,"82,089.40"
01/23/2026,"81,686.80"
01/22/2026,"82,613.30"
01/21/2026,"82,104.65"
01/20/2026,"82,406.30"
01/19/2026,"83,399.45"
01/16/2026,"83,866.45"
01/14/2026,"83,683.50"
01/13/2026,"83,964.45"
01/12/2026,"84,310.40"
01/09/2026,"84,046.45"
01/08/2026,"84,675.30"
01/07/2026,"85,400.60"
01/06/2026,"85,547.75"
01/05/2026,"85,827.30"
01/02/2026,"86,206.70"
01/01/2026,"85,747.35"
12/31/2025,"85,815.55"
12/30/2025,"85,340.10"
12/29/2025,"85,395.90"
12/26/2025,"85,693.05"
12/24/2025,"86,036.15"
12/23/2025,"85,541.95"
12/22/2025,"85,528.15"
12/19/2025,"85,013.85"
12/18/2025,"84,621.60"
12/17/2025,"84,760.65"
12/16/2025,"84,924.45"
12/15/2025,"85,401.95"
12/12/2025,"85,516.35"
12/11/2025,"85,126.05"
12/10/2025,"84,734.35"
12/09/2025,"85,064.50"
12/08/2025,"85,504.35"
12/05/2025,"86,132.05"
12/04/2025,"85,746.40"
12/03/2025,"85,602.95"
12/02/2025,"85,806.25"
12/01/2025,"86,218.85"
11/28/2025,"86,350.50"
11/27/2025,"86,310.30"
11/26/2025,"85,601.95"
11/25/2025,"84,702.30"
11/24/2025,"85,106.25"
11/21/2025,"85,362.40"
11/20/2025,"85,770.45"
11/19/2025,"85,247.95"
11/18/2025,"84,900.55"
11/17/2025,"85,156.25"
11/14/2025,"84,816.35"
11/13/2025,"84,771.05"
11/12/2025,"84,869.95"
11/11/2025,"84,288.70"
11/10/2025,"84,005.65"
11/07/2025,"83,663.30"
11/06/2025,"83,790.10"
11/04/2025,"83,966.30"
11/03/2025,"84,553.35"
10/31/2025,"84,624.60"
10/30/2025,"85,027.45"
10/29/2025,"85,118.50"
10/28/2025,"84,737.30"
10/27/2025,"84,980.50"
10/24/2025,"84,283.75"
10/23/2025,"84,856.00"
